,Unnamed: 0,file,speaker,noise,codec,snr,kbps,wer
0,0,121-121726-0000,speaker_2,meeting.wav,downsampling,10,64,9.823529411764708
1,0,121-121726-0000,speaker_2,meeting.wav,downsampling,10,16,1.0
2,0,121-121726-0000,speaker_2,silence.wav,downsampling,10,128,0.1764705882352941
3,0,61-70968-0000,speaker_1,park.wav,downsampling,20,64,0.1176470588235294
4,0,61-70968-0000,speaker_1,park.wav,downsampling,20,16,0.9411764705882352
5,0,61-70968-0000,speaker_1,meeting.wav,downsampling,10,16,3.2941176470588234
6,0,61-70968-0000,speaker_1,meeting.wav,downsampling,10,64,0.8235294117647058
7,0,121-121726-0000,speaker_2,park.wav,downsampling,20,128,0.2352941176470588
8,0,61-70968-0000,speaker_1,meeting.wav,downsampling,20,64,0.1176470588235294
9,0,61-70968-0000,speaker_1,meeting.wav,downsampling,20,16,1.1764705882352942
10,0,61-70968-0000,speaker_1,meeting.wav,downsampling,10,128,0.7647058823529411
11,0,61-70968-0000,speaker_1,park.wav,downsampling,10,16,1.0
12,0,121-121726-0000,speaker_2,meeting.wav,downsampling,20,8,1.0
13,0,121-121726-0000,speaker_2,park.wav,downsampling,20,32,1.1176470588235294
14,0,61-70968-0000,speaker_1,silence.wav,downsampling,10,128,0.1176470588235294
15,0,61-70968-0000,speaker_1,park.wav,downsampling,10,64,1.0
16,0,61-70968-0000,speaker_1,meeting.wav,downsampling,10,8,1.0
17,0,61-70968-0000,speaker_1,silence.wav,downsampling,10,8,1.0
18,0,121-121726-0000,speaker_2,meeting.wav,downsampling,20,128,0.1764705882352941
19,0,121-121726-0000,speaker_2,park.wav,downsampling,20,64,0.5294117647058824
20,0,61-70968-0000,speaker_1,park.wav,downsampling,10,32,12.941176470588236
21,0,121-121726-0000,speaker_2,park.wav,downsampling,10,128,1.4705882352941178
22,0,121-121726-0000,speaker_2,park.wav,downsampling,20,16,1.0
23,0,121-121726-0000,speaker_2,meeting.wav,downsampling,10,128,1.0
24,0,61-70968-0000,speaker_1,meeting.wav,downsampling,20,32,0.7647058823529411
25,0,61-70968-0000,speaker_1,meeting.wav,downsampling,10,32,1.588235294117647
26,0,61-70968-0000,speaker_1,park.wav,downsampling,20,128,0.1176470588235294
27,0,121-121726-0000,speaker_2,park.wav,downsampling,10,8,1.0
28,0,61-70968-0000,speaker_1,park.wav,downsampling,20,32,0.7647058823529411
29,0,61-70968-0000,speaker_1,park.wav,downsampling,10,8,1.0
30,0,121-121726-0000,speaker_2,meeting.wav,downsampling,10,32,2.823529411764706
31,0,61-70968-0000,speaker_1,park.wav,downsampling,10,128,0.9411764705882352
32,0,121-121726-0000,speaker_2,park.wav,downsampling,20,8,1.0
33,0,61-70968-0000,speaker_1,park.wav,downsampling,20,8,1.0
34,0,121-121726-0000,speaker_2,silence.wav,downsampling,10,64,0.1176470588235294
35,0,121-121726-0000,speaker_2,silence.wav,downsampling,10,16,1.4705882352941178
36,0,61-70968-0000,speaker_1,silence.wav,downsampling,10,32,0.8235294117647058
37,0,121-121726-0000,speaker_2,park.wav,downsampling,10,16,1.0
38,0,121-121726-0000,speaker_2,park.wav,downsampling,10,64,2.176470588235294
39,0,121-121726-0000,speaker_2,meeting.wav,downsampling,20,32,1.7058823529411764
40,0,61-70968-0000,speaker_1,meeting.wav,downsampling,20,8,1.0
41,0,121-121726-0000,speaker_2,silence.wav,downsampling,10,8,1.0
42,0,121-121726-0000,speaker_2,meeting.wav,downsampling,20,16,1.0
43,0,61-70968-0000,speaker_1,meeting.wav,downsampling,20,128,0.1176470588235294
44,0,121-121726-0000,speaker_2,meeting.wav,downsampling,20,64,0.2941176470588235
45,0,121-121726-0000,speaker_2,meeting.wav,downsampling,10,8,1.0
46,0,61-70968-0000,speaker_1,silence.wav,downsampling,10,16,1.2941176470588236
47,0,121-121726-0000,speaker_2,park.wav,downsampling,10,32,1.0
48,0,61-70968-0000,speaker_1,silence.wav,downsampling,10,64,0.1176470588235294
49,0,121-121726-0000,speaker_2,silence.wav,downsampling,10,32,0.8823529411764706
0,0,121-121726-0000,speaker_2,park.wav,mp3,10,32,1.4705882352941178
1,0,61-70968-0000,speaker_1,silence.wav,mp3,10,16,0.1176470588235294
2,0,61-70968-0000,speaker_1,silence.wav,mp3,10,64,0.0
3,0,121-121726-0000,speaker_2,silence.wav,mp3,10,32,0.1176470588235294
4,0,121-121726-0000,speaker_2,meeting.wav,mp3,20,16,0.1764705882352941
5,0,121-121726-0000,speaker_2,silence.wav,mp3,10,8,0.2941176470588235
6,0,121-121726-0000,speaker_2,meeting.wav,mp3,20,64,0.1176470588235294
7,0,61-70968-0000,speaker_1,meeting.wav,mp3,20,128,0.1176470588235294
8,0,121-121726-0000,speaker_2,meeting.wav,mp3,10,8,1.0588235294117647
9,0,61-70968-0000,speaker_1,meeting.wav,mp3,20,8,0.1176470588235294
10,0,121-121726-0000,speaker_2,meeting.wav,mp3,20,32,0.1176470588235294
11,0,121-121726-0000,speaker_2,silence.wav,mp3,10,64,0.1764705882352941
12,0,121-121726-0000,speaker_2,silence.wav,mp3,10,16,0.3529411764705882
13,0,121-121726-0000,speaker_2,park.wav,mp3,10,16,1.3529411764705883
14,0,61-70968-0000,speaker_1,silence.wav,mp3,10,32,0.0
15,0,121-121726-0000,speaker_2,park.wav,mp3,10,64,1.4705882352941178
16,0,61-70968-0000,speaker_1,park.wav,mp3,10,128,0.9411764705882352
17,0,61-70968-0000,speaker_1,park.wav,mp3,20,8,0.1176470588235294
18,0,121-121726-0000,speaker_2,park.wav,mp3,20,8,0.2352941176470588
19,0,61-70968-0000,speaker_1,park.wav,mp3,20,32,0.1176470588235294
20,0,61-70968-0000,speaker_1,park.wav,mp3,10,8,0.9411764705882352
21,0,121-121726-0000,speaker_2,meeting.wav,mp3,10,32,1.0
22,0,61-70968-0000,speaker_1,meeting.wav,mp3,10,32,0.9411764705882352
23,0,61-70968-0000,speaker_1,park.wav,mp3,20,128,0.1176470588235294
24,0,121-121726-0000,speaker_2,park.wav,mp3,10,8,2.8823529411764706
25,0,121-121726-0000,speaker_2,meeting.wav,mp3,10,128,1.0
26,0,61-70968-0000,speaker_1,meeting.wav,mp3,20,32,0.0
27,0,121-121726-0000,speaker_2,park.wav,mp3,20,64,0.1176470588235294
28,0,121-121726-0000,speaker_2,park.wav,mp3,10,128,1.2941176470588236
29,0,61-70968-0000,speaker_1,park.wav,mp3,10,32,0.8823529411764706
30,0,121-121726-0000,speaker_2,park.wav,mp3,20,16,0.1176470588235294
31,0,61-70968-0000,speaker_1,park.wav,mp3,10,16,0.9411764705882352
32,0,61-70968-0000,speaker_1,meeting.wav,mp3,10,128,0.8235294117647058
33,0,121-121726-0000,speaker_2,meeting.wav,mp3,20,8,0.1764705882352941
34,0,61-70968-0000,speaker_1,silence.wav,mp3,10,128,0.0
35,0,121-121726-0000,speaker_2,park.wav,mp3,20,32,0.1176470588235294
36,0,121-121726-0000,speaker_2,meeting.wav,mp3,20,128,0.1176470588235294
37,0,61-70968-0000,speaker_1,silence.wav,mp3,10,8,0.1176470588235294
38,0,61-70968-0000,speaker_1,meeting.wav,mp3,10,8,0.9411764705882352
39,0,61-70968-0000,speaker_1,park.wav,mp3,10,64,1.0
40,0,121-121726-0000,speaker_2,park.wav,mp3,20,128,0.1176470588235294
41,0,61-70968-0000,speaker_1,meeting.wav,mp3,20,64,0.1176470588235294
42,0,61-70968-0000,speaker_1,meeting.wav,mp3,20,16,0.1176470588235294
43,0,61-70968-0000,speaker_1,meeting.wav,mp3,10,16,0.9411764705882352
44,0,61-70968-0000,speaker_1,meeting.wav,mp3,10,64,0.8235294117647058
45,0,121-121726-0000,speaker_2,meeting.wav,mp3,10,64,1.0
46,0,121-121726-0000,speaker_2,meeting.wav,mp3,10,16,1.4705882352941178
47,0,61-70968-0000,speaker_1,park.wav,mp3,20,64,0.1176470588235294
